T00,T01,T02,T03,T10,T11,T12,T13,T20,T21,T22,T23,T30,T31,T32,T33
5.335846656782967656e-01,8.427336872056006012e-01,-7.132557046272842982e-02,1.020861792746441954e-01,-8.438644655203879630e-01,5.361238036426653197e-01,2.154137877925356437e-02,-3.518778100742038228e-01,5.639298169959373191e-02,4.869496500228952252e-02,9.972204530586281646e-01,1.552146499181035200e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.335846232338308237e-01,8.426277885343177454e-01,-7.256624448168666475e-02,1.019885798180845682e-01,-8.437982947830579006e-01,5.362129086931706201e-01,2.191242277826380841e-02,-3.516969880886632871e-01,5.737497337354238724e-02,4.953914150017738743e-02,9.971228539602383645e-01,1.557389788424712318e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.335509906737910812e-01,8.427019137489218936e-01,-7.195015576717865569e-02,1.020050971375895399e-01,-8.438387536260328892e-01,5.361467823015848566e-01,2.197238508948949620e-02,-3.517691702694288880e-01,5.709201546521171233e-02,4.899094193381178797e-02,9.971661794197386186e-01,1.555205154256207312e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.334918707709002117e-01,8.426575650062843037e-01,-7.290165950817170670e-02,1.019383064086213375e-01,-8.438695816674693928e-01,5.361179959648048055e-01,2.148542620131456762e-02,-3.519053740729322644e-01,5.718874852395151170e-02,5.005719269357571111e-02,9.971076794919908615e-01,1.552599080823664490e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.335939309456665391e-01,8.426505091041504025e-01,-7.223320818340560334e-02,1.020406202452772693e-01,-8.437997870798846778e-01,5.362071648519440847e-01,2.199535599578517769e-02,-3.516917252242920400e-01,5.726636169595956949e-02,4.921377721691428536e-02,9.971452090594185025e-01,1.557165558501218960e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.335673265848179803e-01,8.426478944233637414e-01,-7.245987872610228087e-02,1.019705451728084022e-01,-8.438113656156056575e-01,5.361910390994198972e-01,2.194422127601260153e-02,-3.517023393743363702e-01,5.734358952015914529e-02,4.943374973998582167e-02,9.971298897975064968e-01,1.557753668930721425e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.336531663693918626e-01,8.426042462088446650e-01,-7.233520785030458922e-02,1.020638721772783031e-01,-8.437843443450255831e-01,5.362498751604846126e-01,2.154185759399090266e-02,-3.517727335013820511e-01,5.694100685935651884e-02,4.953943541451864135e-02,9.971477152742482808e-01,1.554897337032117299e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.336512571245642933e-01,8.426268347891060495e-01,-7.208573411338173309e-02,1.021135815762065358e-01,-8.438159753600392721e-01,5.362150750833758472e-01,2.116584466813865861e-02,-3.518631149877765041e-01,5.648836602839879539e-02,4.953191442517219933e-02,9.971738333694980527e-01,1.552922587532039600e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.336436921452583082e-01,8.427058546184469368e-01,-7.121272656885418995e-02,1.021287602307142661e-01,-8.438186927804651738e-01,5.361870830147597022e-01,2.175834833783852479e-02,-3.518667985443555413e-01,5.651923166360566658e-02,4.847942450067644488e-02,9.972238073031747252e-01,1.552664852421441477e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.335916906578767049e-01,8.426550206710028412e-01,-7.219711766283276599e-02,1.020245180742854751e-01,-8.438087041082382722e-01,5.361975356684667293e-01,2.188775032384988189e-02,-3.517999334820822721e-01,5.715573927476272353e-02,4.924143459542437012e-02,9.971501905866237969e-01,1.554427376105516068e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
