position,body,source,marker,sigma_mm
pos_09,anatomy,reproj,m3,0.0184
pos_09,drill,raw,m0,0.0179
pos_09,drill,raw,m1,0.0160
pos_09,drill,raw,m2,0.0157
pos_09,drill,raw,m3,0.0161
pos_09,anatomy,raw,m0,0.0203
pos_09,anatomy,raw,m1,0.0208
pos_09,anatomy,raw,m2,0.0193
pos_09,anatomy,raw,m3,0.0204
pos_10,drill,reproj,m0,0.0493
pos_10,drill,reproj,m1,0.0567
pos_10,drill,reproj,m2,0.0616
pos_10,drill,reproj,m3,0.0460
pos_10,anatomy,reproj,m0,0.0187
pos_10,anatomy,reproj,m1,0.0196
pos_10,anatomy,reproj,m2,0.0211
pos_10,anatomy,reproj,m3,0.0181
pos_10,drill,raw,m0,0.0184
pos_10,drill,raw,m1,0.0191
pos_10,drill,raw,m2,0.0197
pos_10,drill,raw,m3,0.0196
pos_10,anatomy,raw,m0,0.0207
pos_10,anatomy,raw,m1,0.0224
pos_10,anatomy,raw,m2,0.0202
pos_10,anatomy,raw,m3,0.0209
pos_11,drill,reproj,m0,0.1072
pos_11,drill,reproj,m1,0.1182
pos_11,drill,reproj,m2,0.1264
pos_11,drill,reproj,m3,0.1047
pos_11,anatomy,reproj,m0,0.0239
pos_11,anatomy,reproj,m1,0.0250
pos_11,anatomy,reproj,m2,0.0272
pos_11,anatomy,reproj,m3,0.0219
pos_12,drill,reproj,m0,0.1244
pos_12,drill,reproj,m1,0.1360
pos_12,drill,reproj,m2,0.1432
pos_12,drill,reproj,m3,0.1196
pos_12,anatomy,reproj,m0,0.0231
pos_12,anatomy,reproj,m1,0.0250
pos_12,anatomy,reproj,m2,0.0243
pos_12,anatomy,reproj,m3,0.0224
