m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z
3.514728546142577986e-02,-1.241015243530273482e-01,1.642546997070312598e+00,-9.913022041320801447e-03,-7.797303771972656505e-02,1.641206787109374954e+00,9.893331146240234852e-02,-6.776117706298828702e-02,1.655536376953125055e+00,2.740656471252441578e-02,-5.395840072631836321e-02,1.651388305664062583e+00
3.514310836791992299e-02,-1.240980377197265644e-01,1.642590087890624995e+00,-9.907600402832030667e-03,-7.796628570556640714e-02,1.641171630859375119e+00,9.893535614013672375e-02,-6.775946807861328580e-02,1.655573852539062640e+00,2.740732955932617329e-02,-5.394498825073242021e-02,1.651385620117187480e+00
3.515288543701172025e-02,-1.240885009765625019e-01,1.642460083007812432e+00,-9.907963752746582614e-03,-7.796833038330078236e-02,1.641107910156250016e+00,9.893515014648437966e-02,-6.775553894042968262e-02,1.655517089843750123e+00,2.741102981567382704e-02,-5.394235229492187755e-02,1.651263549804687480e+00
3.515025329589843706e-02,-1.240759658813476579e-01,1.642473754882812553e+00,-9.918276786804200093e-03,-7.795530700683593606e-02,1.641147827148437432e+00,9.894273376464843284e-02,-6.774385070800781339e-02,1.655550292968750004e+00,2.740891456604004073e-02,-5.393514633178710799e-02,1.651311401367187459e+00
3.514158248901367437e-02,-1.240872726440429702e-01,1.642554077148437486e+00,-9.908899307250976923e-03,-7.796176910400390292e-02,1.641129028320312599e+00,9.893905639648437056e-02,-6.775028228759766291e-02,1.655557250976562589e+00,2.740904808044433705e-02,-5.394186401367187522e-02,1.651311401367187459e+00
3.514744186401367460e-02,-1.240767974853515671e-01,1.642492919921874961e+00,-9.919444084167481496e-03,-7.795623779296875777e-02,1.641171264648437544e+00,9.893776702880859031e-02,-6.774453735351562700e-02,1.655561035156249972e+00,2.740482521057129028e-02,-5.393425369262695723e-02,1.651309082031249931e+00
3.515238952636718511e-02,-1.240850830078124994e-01,1.642547973632812575e+00,-9.914846420288085313e-03,-7.795404815673828702e-02,1.641203613281249973e+00,9.893600463867187333e-02,-6.775257873535156516e-02,1.655568237304687607e+00,2.740615272521972762e-02,-5.393655014038085949e-02,1.651334228515624947e+00
3.514783096313476435e-02,-1.240847473144531254e-01,1.642480712890625139e+00,-9.919865608215332198e-03,-7.795783233642578081e-02,1.641153442382812466e+00,9.893406677246094350e-02,-6.774909210205078136e-02,1.655494750976562512e+00,2.740380096435546947e-02,-5.393701171875000394e-02,1.651315917968749991e+00
3.515141677856445379e-02,-1.240921020507812500e-01,1.642539062500000036e+00,-9.905900955200195451e-03,-7.796987152099608964e-02,1.641155273437500117e+00,9.893701934814452814e-02,-6.775325012207031317e-02,1.655560058593749995e+00,2.740884399414062617e-02,-5.394866561889648249e-02,1.651319946289062424e+00
3.515380096435546942e-02,-1.241045303344726625e-01,1.642465087890625064e+00,-9.909596443176269670e-03,-7.797590637207031661e-02,1.641114135742187452e+00,9.893929290771484586e-02,-6.776136779785156550e-02,1.655493286132812436e+00,2.740926361083984367e-02,-5.395684432983398338e-02,1.651284667968750064e+00
3.514813613891601407e-02,-1.240807723999023532e-01,1.642501586914062450e+00,-9.909582138061524131e-03,-7.795941925048828491e-02,1.641135620117187610e+00,9.894387817382813144e-02,-6.774454498291015980e-02,1.655536376953125055e+00,2.740912628173828094e-02,-5.393579483032226451e-02,1.651318847656250144e+00
3.514490127563476424e-02,-1.241000518798828084e-01,1.642545776367187571e+00,-9.915258407592773479e-03,-7.797457885742187234e-02,1.641169677734374943e+00,9.893976593017578258e-02,-6.775765228271483920e-02,1.655533813476562477e+00,2.741009521484374933e-02,-5.395405197143554599e-02,1.651322631835937527e+00
