m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z
9.140727233886719594e-02,2.582725524902343972e-01,1.797975219726562601e+00,1.545522766113281155e-01,2.412132110595703038e-01,1.802581054687500073e+00,1.388207702636718721e-01,2.064597015380859324e-01,1.805592529296875082e+00,9.426694488525390325e-02,1.872311706542968690e-01,1.805121826171875110e+00
9.141248321533203269e-02,2.582604980468750089e-01,1.797903198242187583e+00,1.545594940185546773e-01,2.412160949707031210e-01,1.802688232421875147e+00,1.388301544189453063e-01,2.064544982910156423e-01,1.805614379882812592e+00,9.426969909667969050e-02,1.872240447998047008e-01,1.805095336914062543e+00
9.140161895751953980e-02,2.582695007324218861e-01,1.797911621093750023e+00,1.545572357177734391e-01,2.412238006591796990e-01,1.802639526367187495e+00,1.388219604492187398e-01,2.064654541015625011e-01,1.805603637695312624e+00,9.426753997802735097e-02,1.872385711669921904e-01,1.805100952148437576e+00
9.140516662597655828e-02,2.582528991699218901e-01,1.797957519531250048e+00,1.545640258789062471e-01,2.412044525146484486e-01,1.802634033203124986e+00,1.388258514404296928e-01,2.064537048339843694e-01,1.805642211914062489e+00,9.427033996582032116e-02,1.872238464355468757e-01,1.805123413085937489e+00
9.140866088867187489e-02,2.582726745605468666e-01,1.797940551757812644e+00,1.545601501464843874e-01,2.412311706542968892e-01,1.802662963867187607e+00,1.388227691650390783e-01,2.064711456298828074e-01,1.805645141601562642e+00,9.426815795898438322e-02,1.872407531738281283e-01,1.805120239257812509e+00
9.140200042724609675e-02,2.582610168457031286e-01,1.797907592773437591e+00,1.545534515380859453e-01,2.412167968750000002e-01,1.802614135742187429e+00,1.388176727294921919e-01,2.064647064208984528e-01,1.805625854492187488e+00,9.426186370849609641e-02,1.872302856445312580e-01,1.805076904296875062e+00
9.140945434570312000e-02,2.582735290527343741e-01,1.797944580078125076e+00,1.545603485107421848e-01,2.412175598144531419e-01,1.802582031250000050e+00,1.388249664306640541e-01,2.064699249267578085e-01,1.805638793945312459e+00,9.427011108398437866e-02,1.872350921630859533e-01,1.805111206054687445e+00
9.140269470214844316e-02,2.582616577148437731e-01,1.797931030273437480e+00,1.545475006103515792e-01,2.412156982421874984e-01,1.802626831054687573e+00,1.388165588378906246e-01,2.064625244140625149e-01,1.805625610351562438e+00,9.426138305664062689e-02,1.872290191650390623e-01,1.805077270507812637e+00
9.140776824951171720e-02,2.582607116699218719e-01,1.797939331054687617e+00,1.545613250732421895e-01,2.412133178710937631e-01,1.802646362304687555e+00,1.388233489990234326e-01,2.064611206054687564e-01,1.805635375976562429e+00,9.426990509033203458e-02,1.872272949218750093e-01,1.805131591796875101e+00
9.140991973876953780e-02,2.582698059082031428e-01,1.797853271484375126e+00,1.545580444335937498e-01,2.412298889160156279e-01,1.802591186523437639e+00,1.388255310058593706e-01,2.064715270996093921e-01,1.805557861328125124e+00,9.426986694335937056e-02,1.872398529052734517e-01,1.805040161132812626e+00
9.141108703613282094e-02,2.582768249511718794e-01,1.797931396484375055e+00,1.545582885742187440e-01,2.412320556640625002e-01,1.802652221679687639e+00,1.388226165771484499e-01,2.064800720214843843e-01,1.805666625976562578e+00,9.427188873291016125e-02,1.872412567138671824e-01,1.805087890625000080e+00
9.141272735595702692e-02,2.582702331542968688e-01,1.797942016601562498e+00,1.545671997070312553e-01,2.412198028564453145e-01,1.802600830078125105e+00,1.388259277343749931e-01,2.064723358154297028e-01,1.805655029296874936e+00,9.427574920654296919e-02,1.872346649169921995e-01,1.805125000000000091e+00
9.140267944335937755e-02,2.582583312988281365e-01,1.797960571289062504e+00,1.545467224121093719e-01,2.412167816162109346e-01,1.802695922851562438e+00,1.388164062499999962e-01,2.064626617431640776e-01,1.805704711914062566e+00,9.426174926757813211e-02,1.872306976318359462e-01,1.805169067382812464e+00
9.141134643554688077e-02,2.582644653320312345e-01,1.797908569335937568e+00,1.545596008300781365e-01,2.412224121093750062e-01,1.802648559570312559e+00,1.388243713378906341e-01,2.064654846191406323e-01,1.805620239257812454e+00,9.426776885986327958e-02,1.872413330078125104e-01,1.805148315429687456e+00
9.140954589843749978e-02,2.582695922851562798e-01,1.797915405273437628e+00,1.545586242675781319e-01,2.412215270996093675e-01,1.802616699218750007e+00,1.388267822265625007e-01,2.064717407226562551e-01,1.805630493164062544e+00,9.427095031738282060e-02,1.872417755126953298e-01,1.805087402343749980e+00
9.140989685058593939e-02,2.582498779296875102e-01,1.797918579101562608e+00,1.545610504150390641e-01,2.412010955810546808e-01,1.802630615234374956e+00,1.388256378173828021e-01,2.064502716064453292e-01,1.805628173828125016e+00,9.426875305175781705e-02,1.872183837890624980e-01,1.805084594726562575e+00
9.141826629638671875e-02,2.582588500976562562e-01,1.797924316406249945e+00,1.545681152343749976e-01,2.412151184082031163e-01,1.802630859375000005e+00,1.388339996337890625e-01,2.064608917236328278e-01,1.805618774414062599e+00,9.427600097656249623e-02,1.872285003662109426e-01,1.805127441406250144e+00
