T00,T01,T02,T03,T10,T11,T12,T13,T20,T21,T22,T23,T30,T31,T32,T33
7.667692027950490097e-01,6.364335486892634952e-01,-8.376949174870454429e-02,9.059293746587079865e-02,-6.272575488143831146e-01,7.705794681970521420e-01,1.129391457755919564e-01,-9.147692408402940956e-02,1.364293117347480933e-01,-3.405321271098536717e-02,9.900643522537529995e-01,9.509997598290031995e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.668364807540122285e-01,6.363763849331997013e-01,-8.358772926784104051e-02,9.061628050953804414e-02,-6.272712035550701559e-01,7.706372874662746897e-01,1.124678103156480091e-01,-9.148108142109810659e-02,1.359876794984592463e-01,-3.381224432028730881e-02,9.901333663495286430e-01,9.506246569989551531e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.668296768601058355e-01,6.363364598443894682e-01,-8.395329987163049901e-02,9.062404009989225018e-02,-6.271613035442040740e-01,7.706659523097006970e-01,1.128835208846591387e-01,-9.142327006615627583e-02,1.365318498496261579e-01,-3.391017285848491047e-02,9.900551268254446091e-01,9.509793011441658450e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.668935740107404309e-01,6.363674042853024737e-01,-8.313105860157904425e-02,9.064532459534144215e-02,-6.271605679507938902e-01,7.706020867586438339e-01,1.133227509852327008e-01,-9.137111728241330277e-02,1.361758721237741609e-01,-3.476996759287723227e-02,9.900743311514139666e-01,9.513370230287065965e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.668152700424529788e-01,6.363337434678246751e-01,-8.410534200599295573e-02,9.059724625323448133e-02,-6.272956685742339111e-01,7.707073089903595520e-01,1.118498460295941910e-01,-9.149192057003970036e-02,1.359944330394641243e-01,-3.300925314307610187e-02,9.901595343121286641e-01,9.505315252285750915e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.668193621429608697e-01,6.363105155086512532e-01,-8.424365670943945172e-02,9.060369301873535952e-02,-6.272681644162620973e-01,7.707301912758541818e-01,1.118464222303919564e-01,-9.149776785501208265e-02,1.360981842366625894e-01,-3.292263824483761953e-02,9.901481627203494451e-01,9.506666480908543271e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.668723879964542967e-01,6.363846002565967108e-01,-8.319483809027794496e-02,9.062426014138760810e-02,-6.272322959379459384e-01,7.706042545724687276e-01,1.129102730809876665e-01,-9.139164393270085562e-02,1.359646551903433420e-01,-3.440528144139807371e-02,9.901160988227135640e-01,9.513392295409262012e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.668578259510681061e-01,6.363334731298087021e-01,-8.371849110057150156e-02,9.061496133806018483e-02,-6.272588581674227726e-01,7.706847568817480898e-01,1.122110973149361146e-01,-9.146998463008548796e-02,1.359242422384709936e-01,-3.353679299927161961e-02,9.901514449250788941e-01,9.508711437854544535e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.668565550522523644e-01,6.362881104773874252e-01,-8.407416034970596752e-02,9.060746998296534405e-02,-6.272606016268387208e-01,7.707461541729250243e-01,1.117788149623268890e-01,-9.147957522163423227e-02,1.359233667186341699e-01,-3.298190856760529338e-02,9.901702035948718450e-01,9.504207697959188295e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.668194762798228314e-01,6.363570842172165953e-01,-8.389011958806980029e-02,9.061216349557393857e-02,-6.271991586776644034e-01,7.706510283144304418e-01,1.127750323074264566e-01,-9.141972688602369168e-02,1.364151976576228331e-01,-3.386227878441482042e-02,9.900728457661882587e-01,9.512410041045638032e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
