T00,T01,T02,T03,T10,T11,T12,T13,T20,T21,T22,T23,T30,T31,T32,T33
9.791701644756345413e-01,1.682615917509006354e-01,1.136390150529838217e-01,3.789118576049804732e-02,1.541381740622822238e-01,-9.803145510585842271e-01,1.233888336907042055e-01,-8.094366455078125244e-02,1.321635815854905749e-01,-1.033025542968804139e-01,-9.858302947151886819e-01,1.647666503906250135e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791919973891952678e-01,1.683204873928689227e-01,1.133633352225727059e-01,3.789948272705077892e-02,1.541499039414399586e-01,-9.802409171706941704e-01,1.239578614659077871e-01,-8.093753051757812678e-02,1.319880273502228585e-01,-1.039035987258545568e-01,-9.857906485699757804e-01,1.647620483398437585e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791846974893261280e-01,1.683457557444827668e-01,1.133888650862849290e-01,3.790108871459960810e-02,1.541438661169364510e-01,-9.802148030746069551e-01,1.241716890918905525e-01,-8.092875671386719205e-02,1.320492209036492337e-01,-1.041088197811698424e-01,-9.857608010580005686e-01,1.647625976562500094e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791916081885502221e-01,1.684064122106864736e-01,1.132390161536443174e-01,3.790130615234375139e-02,1.541832234188613704e-01,-9.801733568804334995e-01,1.244496849249215747e-01,-8.093329620361328081e-02,1.319519915321115400e-01,-1.044005305928429189e-01,-9.857429691063702704e-01,1.647614746093750027e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791787890844948494e-01,1.683743895994938566e-01,1.133973718126684294e-01,3.790633392333984247e-02,1.541778901368875410e-01,-9.802153698362273682e-01,1.241249649738761646e-01,-8.094751739501952759e-02,1.320533119613459261e-01,-1.040571653651300027e-01,-9.857657070197834992e-01,1.647632080078125005e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792113428686830545e-01,1.683394329798621469e-01,1.131679340684852986e-01,3.790215301513671919e-02,1.541339021689246414e-01,-9.801907806305014681e-01,1.243735251938626329e-01,-8.093383026123046609e-02,1.318631343457711547e-01,-1.043449513440229681e-01,-9.857607442627864813e-01,1.647631713867187431e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791545067803671953e-01,1.683845205013671242e-01,1.135918355658572937e-01,3.790684890747070268e-02,1.541338837606761880e-01,-9.801905474120852224e-01,1.243753859927562710e-01,-8.092456054687499623e-02,1.322845332174039379e-01,-1.042743689480853386e-01,-9.857117521121133707e-01,1.647566650390624998e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791583434610121595e-01,1.683476283980356591e-01,1.136134430577819404e-01,3.790013504028320185e-02,1.541472667660685192e-01,-9.802381053961334301e-01,1.239833733931677562e-01,-8.093167877197265936e-02,1.322405330420195479e-01,-1.038861527931227990e-01,-9.857586462611459543e-01,1.647627563476562473e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791726350411664725e-01,1.683600830928960734e-01,1.134717286705884121e-01,3.789964675903320646e-02,1.542023273277466355e-01,-9.802555144256179798e-01,1.237770927307370178e-01,-8.093283843994140969e-02,1.320704093778957700e-01,-1.037015373999832651e-01,-9.858008917157838891e-01,1.647629882812500002e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792024792057841820e-01,1.682367619979031059e-01,1.133970750491702650e-01,3.790539550781250183e-02,1.541585025714173329e-01,-9.803299695094226385e-01,1.232408494233684648e-01,-8.093698883056640869e-02,1.319001925782694040e-01,-1.031966220092304098e-01,-9.858766638904178370e-01,1.647614624023437502e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
