m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z
7.739283483770554445e-03,-6.821373528377752682e-02,1.645784129869432233e+00,9.355784642148244623e-02,-6.397452960017432910e-02,1.656207229733235309e+00,-1.134938485517043849e-02,-9.627091563508642647e-02,1.640072030881304821e+00,6.161699799190946403e-02,-9.531547768408674126e-02,1.648602625141028177e+00
7.745950939523148226e-03,-6.820920562209338567e-02,1.645753424707267820e+00,9.356693514089209351e-02,-6.396831245960865608e-02,1.656155881925901019e+00,-1.134177087935029499e-02,-9.626483256498896690e-02,1.640030542943986092e+00,6.162681570713800239e-02,-9.530777142362148457e-02,1.648542084016595410e+00
7.747321325296100542e-03,-6.820071719972627122e-02,1.645760778336849084e+00,9.356790994086394697e-02,-6.396010321919511077e-02,1.656166612423471296e+00,-1.133959821650007416e-02,-9.625555082122040640e-02,1.640031335436757498e+00,6.162872180873828903e-02,-9.529865561532697982e-02,1.648545180052922499e+00
7.746293680936554987e-03,-6.820707066897134518e-02,1.645757315461550574e+00,9.356803553799153406e-02,-6.396268790712163199e-02,1.656152095876963548e+00,-1.133928081510945235e-02,-9.626180853225198286e-02,1.640022925114825281e+00,6.163017620555619885e-02,-9.530161770610814931e-02,1.648526647921660482e+00
7.752233814771483655e-03,-6.822041426638901507e-02,1.645765871446066564e+00,9.357257758712592133e-02,-6.397687733066363680e-02,1.656172533224118171e+00,-1.133383278273600303e-02,-9.627607076433930544e-02,1.640037616618053029e+00,6.163435707419780835e-02,-9.531670721868615304e-02,1.648552299024262036e+00
7.747754358042334422e-03,-6.820593063364957520e-02,1.645775789633286967e+00,9.357057791029352312e-02,-6.396595298377691363e-02,1.656163434570444792e+00,-1.133995589188262210e-02,-9.625992965383600719e-02,1.640044894462337144e+00,6.163023568409347480e-02,-9.530350777365935444e-02,1.648542736802680597e+00
7.753248245749834455e-03,-6.819666445562473645e-02,1.645697781672247118e+00,9.357159551564078748e-02,-6.395668624264796986e-02,1.656122342905728573e+00,-1.133198905744916413e-02,-9.625065723505002446e-02,1.639958625873467524e+00,6.163454092594117945e-02,-9.529423425417726801e-02,1.648487851111056779e+00
7.747068062474302824e-03,-6.820332934302975048e-02,1.645753179655348841e+00,9.356540584128958393e-02,-6.396263725165214631e-02,1.656177528640298435e+00,-1.133917842912438717e-02,-9.625882363298558786e-02,1.640024729770927836e+00,6.162724468649315168e-02,-9.530192486022315279e-02,1.648554815839675003e+00
7.745966133678873489e-03,-6.820571807939962428e-02,1.645757025600873558e+00,9.356564855016388793e-02,-6.396044766178791974e-02,1.656168433253430550e+00,-1.134031016757858917e-02,-9.626295438541238036e-02,1.640037213463158894e+00,6.162728251986847317e-02,-9.530223363316571439e-02,1.648556858932537006e+00
7.753025545694128967e-03,-6.820735727076977784e-02,1.645737736151959840e+00,9.357414093276855693e-02,-6.396654404102807001e-02,1.656139143612569420e+00,-1.133702877589305019e-02,-9.626540450236563407e-02,1.640034534014693568e+00,6.163144432868018774e-02,-9.530864950810215286e-02,1.648547082314526957e+00
