m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z
1.769418907165527452e-02,-9.710224151611328292e-02,1.901656616210937623e+00,-2.757526779174804613e-02,-5.106293487548828336e-02,1.900874511718749993e+00,8.144812774658202748e-02,-4.043983840942382696e-02,1.913513671875000099e+00,9.917859077453614058e-03,-2.685482215881347667e-02,1.910245483398437472e+00
1.770075988769531303e-02,-9.710476684570312766e-02,1.901612060546875149e+00,-2.755322074890136780e-02,-5.106060791015624989e-02,1.900790405273437456e+00,8.145742797851562855e-02,-4.044172668457031439e-02,1.913477783203125115e+00,9.925867080688476410e-03,-2.685877418518066440e-02,1.910203369140625052e+00
1.771017837524414135e-02,-9.709970855712890536e-02,1.901552001953125126e+00,-2.755846595764160217e-02,-5.106933593750000167e-02,1.900800903320312596e+00,8.145871734619140880e-02,-4.044828414916992049e-02,1.913438476562500101e+00,9.926971435546876055e-03,-2.686783218383789057e-02,1.910210571289062464e+00
1.769544601440429729e-02,-9.706848907470704002e-02,1.901588134765624938e+00,-2.757759857177734600e-02,-5.103331756591796692e-02,1.900854248046875083e+00,8.146574401855469216e-02,-4.040946578979492249e-02,1.913426147460937532e+00,9.915725708007812333e-03,-2.681975173950195204e-02,1.910264770507812626e+00
1.769149971008300917e-02,-9.708338928222656761e-02,1.901652099609375091e+00,-2.757958793640136880e-02,-5.104120254516601729e-02,1.900849731445312552e+00,8.144808197021484453e-02,-4.042425537109375216e-02,1.913503662109375059e+00,9.900462150573731065e-03,-2.683660888671875189e-02,1.910310791015624954e+00
1.770780944824218786e-02,-9.709931182861328280e-02,1.901587036132812436e+00,-2.757300758361816428e-02,-5.105768966674804898e-02,1.900870727539062610e+00,8.145165252685547530e-02,-4.043514633178710987e-02,1.913524169921875018e+00,9.930651664733886400e-03,-2.685270500183105369e-02,1.910192871093750133e+00
1.769698715209960804e-02,-9.709142303466797297e-02,1.901604492187499940e+00,-2.756603240966797042e-02,-5.105193710327148721e-02,1.900805053710937553e+00,8.145497131347656516e-02,-4.043416595458984575e-02,1.913471801757812507e+00,9.923582077026368159e-03,-2.684361076354980363e-02,1.910229614257812569e+00
1.769043731689453128e-02,-9.708082580566405884e-02,1.901623901367187619e+00,-2.756736183166504095e-02,-5.104554748535156117e-02,1.900792480468749934e+00,8.144751739501952803e-02,-4.042314910888671758e-02,1.913460571289062440e+00,9.917603492736817156e-03,-2.683736610412597659e-02,1.910232177734375147e+00
1.770442581176757957e-02,-9.707591247558594594e-02,1.901566528320312477e+00,-2.757178497314453219e-02,-5.103832244873046653e-02,1.900844238281250043e+00,8.146247100830078525e-02,-4.041994476318359203e-02,1.913484008789062552e+00,9.927778244018555312e-03,-2.682316970825195449e-02,1.910199584960937447e+00
1.770516204833984253e-02,-9.707920837402343739e-02,1.901561889648437642e+00,-2.756215667724609339e-02,-5.104609298706054565e-02,1.900782958984374993e+00,8.146313476562500044e-02,-4.042696762084960899e-02,1.913429565429687562e+00,9.921292304992675171e-03,-2.684572982788085982e-02,1.910217895507812624e+00
1.770781898498535040e-02,-9.708789062500000622e-02,1.901557373046875110e+00,-2.756461334228515678e-02,-5.105234146118164257e-02,1.900787719726562575e+00,8.145976257324219483e-02,-4.043038177490234503e-02,1.913397216796875133e+00,9.928311347961425726e-03,-2.684631919860839752e-02,1.910196411132812466e+00
1.770613479614257732e-02,-9.709329986572265425e-02,1.901569458007812630e+00,-2.756546401977539099e-02,-5.106429672241211137e-02,1.900798583984375068e+00,8.145410156250000588e-02,-4.043900299072265836e-02,1.913439086914062504e+00,9.920402526855469014e-03,-2.685986900329589977e-02,1.910228881835937642e+00
1.768172264099121191e-02,-9.708473205566406361e-02,1.901630859374999982e+00,-2.757146453857422033e-02,-5.104913330078125061e-02,1.900816650390624973e+00,8.145124053955078713e-02,-4.043201446533203208e-02,1.913515380859375004e+00,9.903071403503417580e-03,-2.684710311889648357e-02,1.910308227539062598e+00
1.769660949707031403e-02,-9.709765624999999734e-02,1.901665771484374989e+00,-2.757897186279296975e-02,-5.104906463623046925e-02,1.900876831054687521e+00,8.145397186279297597e-02,-4.043073272705078464e-02,1.913482421874999950e+00,9.915931701660156417e-03,-2.684091949462890508e-02,1.910228393554687543e+00
