T00,T01,T02,T03,T10,T11,T12,T13,T20,T21,T22,T23,T30,T31,T32,T33
9.792156323599142675e-01,1.684157395291137338e-01,1.130171846262117974e-01,3.789720153808593534e-02,1.541826595016882739e-01,-9.801416650958428844e-01,1.246997347717125060e-01,-8.096453857421875844e-02,1.317742495746418163e-01,-1.046826395445333846e-01,-9.857368270116672049e-01,1.647663818359375032e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792005441589721748e-01,1.683138046211200001e-01,1.132994152356350259e-01,3.789536666870117060e-02,1.541512461564305547e-01,-9.802419225246379320e-01,1.239482417528451619e-01,-8.095153808593749667e-02,1.319230367570158324e-01,-1.039049397245657702e-01,-9.857992066712377710e-01,1.647652709960937489e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791911841457373589e-01,1.683761826476050105e-01,1.132876251330614814e-01,3.790301895141601901e-02,1.542056919483485444e-01,-9.802246233782000440e-01,1.240173064285661902e-01,-8.093425750732421986e-02,1.319288803181461744e-01,-1.039670565135236285e-01,-9.857918754473046219e-01,1.647605224609375085e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792661468177612516e-01,1.682036873845217384e-01,1.128952312852278400e-01,3.790904235839843983e-02,1.541699571770477339e-01,-9.803205804619443686e-01,1.233011915059374214e-01,-8.094635772705077725e-02,1.314132337351237578e-01,-1.033396297313217277e-01,-9.859267127562125754e-01,1.647617065429687555e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792130131453860020e-01,1.682456314644037165e-01,1.132929052495274952e-01,3.790615844726562267e-02,1.541443005481002715e-01,-9.803002031317038512e-01,1.234951268207667430e-01,-8.093782043457031783e-02,1.318385736242291828e-01,-1.034645796061839373e-01,-9.858568208779836528e-01,1.647598510742187550e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791696803890941325e-01,1.683019726723349319e-01,1.135833746695335267e-01,3.790148162841797119e-02,1.541387886080597402e-01,-9.802715276552491641e-01,1.237294060233214837e-01,-8.095545196533203425e-02,1.321664513148434472e-01,-1.036444791730109088e-01,-9.857940206167798980e-01,1.647613525390625000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791594698501647764e-01,1.683653930672137367e-01,1.135774054117587306e-01,3.790568161010741954e-02,1.541346278961941152e-01,-9.802077873497191396e-01,1.242385210080576424e-01,-8.094066619873047097e-02,1.322469246751929450e-01,-1.041431132446616475e-01,-9.857306746153654542e-01,1.647642456054687621e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791715572140613499e-01,1.683589396793700455e-01,1.134827254388467016e-01,3.789315795898437478e-02,1.541679348606475597e-01,-9.802306569302845496e-01,1.240165596798507297e-01,-8.094181060791015569e-02,1.321185429975428038e-01,-1.039380904387851301e-01,-9.857695288210857054e-01,1.647676635742187479e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792063496776169940e-01,1.683609014300736784e-01,1.131792013608937525e-01,3.790290832519531417e-02,1.542030732030242046e-01,-9.802261996109836728e-01,1.240081038116102874e-01,-8.096209716796874678e-02,1.318193345673520089e-01,-1.039769419912961734e-01,-9.858054871871831937e-01,1.647643676757812425e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792037710513943338e-01,1.682810834671106814e-01,1.133201293057144177e-01,3.789260864257812389e-02,1.541815670774568936e-01,-9.802987075736204758e-01,1.234604726340736425e-01,-8.093499755859374922e-02,1.318636384006908746e-01,-1.034210852612972853e-01,-9.858580323713486138e-01,1.647684692382812566e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
