T00,T01,T02,T03,T10,T11,T12,T13,T20,T21,T22,T23,T30,T31,T32,T33
9.791613808927027707e-01,1.684682518761966286e-01,1.134082813469728113e-01,3.790369033813476701e-02,1.542078405329923019e-01,-9.801511526204343960e-01,1.245939803320587347e-01,-8.092876434326172486e-02,1.321473877397770502e-01,-1.045091676677821491e-01,-9.857052814035950350e-01,1.647609497070312568e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791607843331154859e-01,1.684403003122227904e-01,1.134549410774453038e-01,3.789394378662109403e-02,1.542093720312043281e-01,-9.801835498358241194e-01,1.243369543176287284e-01,-8.092878723144530939e-02,1.321500208168731039e-01,-1.042500544938499418e-01,-9.857323663835583227e-01,1.647650756835937536e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792124294592163825e-01,1.682906792276741281e-01,1.132310261265335044e-01,3.788871765136719166e-02,1.542113408076068171e-01,-9.803042058925424129e-01,1.233796023486547766e-01,-8.095011901855468650e-02,1.317644882314645827e-01,-1.033533318015443792e-01,-9.858783943502467118e-01,1.647647949218750130e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792054089697571628e-01,1.683561075880080915e-01,1.131944701926101832e-01,3.789731216430664018e-02,1.541506288077680031e-01,-9.801908499880357395e-01,1.243522466138107518e-01,-8.094081115722656650e-02,1.318876441617651829e-01,-1.043173937440316501e-01,-9.857603819792680744e-01,1.647630126953125052e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791782106589401735e-01,1.683075161058332769e-01,1.135015937907532385e-01,3.789374160766601635e-02,1.541727156133159138e-01,-9.802848056449129377e-01,1.235818497277456768e-01,-8.093778991699218661e-02,1.320636419729976085e-01,-1.035098055451761229e-01,-9.858219487437009931e-01,1.647676757812500004e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792203093127178626e-01,1.682431523406314466e-01,1.132335088213420604e-01,3.789641952514648249e-02,1.541454806240158126e-01,-9.802975870108088241e-01,1.235144190124271846e-01,-8.095176696777343917e-02,1.317829906805010887e-01,-1.034933939499200484e-01,-9.858612279504810338e-01,1.647638427734374966e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792187421482103638e-01,1.683170319731193132e-01,1.131372254098386848e-01,3.789983367919921853e-02,1.542209284979491057e-01,-9.802775771770331215e-01,1.235790309767658690e-01,-8.094141387939453314e-02,1.317063409214119241e-01,-1.035627753185763278e-01,-9.858641850323028866e-01,1.647609008789062468e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791867753190081070e-01,1.682360404478737692e-01,1.135336678469600069e-01,3.789521026611328280e-02,1.541435758394713584e-01,-9.803324187135465939e-01,1.232400375148796634e-01,-8.095949554443360174e-02,1.320341511419814706e-01,-1.031745293842873668e-01,-9.858610446805106120e-01,1.647644287109375050e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.791893816398625772e-01,1.682726559401485356e-01,1.134568999514449089e-01,3.790185928344726868e-02,1.541642673713750356e-01,-9.803066010348741033e-01,1.234193932625633205e-01,-8.095674896240234730e-02,1.319906570541679314e-01,-1.033599595118945003e-01,-9.858474452064623916e-01,1.647634277343750009e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.792187268979830606e-01,1.683178544415373790e-01,1.131361337879771556e-01,3.789950561523437733e-02,1.541848335928606428e-01,-9.802482757220816190e-01,1.238561869016959471e-01,-8.094548797607421797e-02,1.317487077061308409e-01,-1.038384216948784466e-01,-9.858295289742955436e-01,1.647621459960937562e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
